ID,Nama Produk,Jenis Sambal,Harga,Stok,Tanggal Produksi,Tanggal Expired,Rating,Penjual,Lokasi
55,Sambel Sambal Terasi 155ml,Sambal Roa,32654,373,7/15/2025,3/22/2026,3.6,Perum Santoso Handayani (Persero) Tbk,Surakarta
56,Sambal Sambal Roa 395ml,Sambal Matah,26693,22,7/15/2025,5/24/2026,2.5,UD Lazuardi (Persero) Tbk,Tomohon
57,Sambal Sambal Cumi 320ml,Sambal Bawang,72185,340,7/15/2025,3/31/2026,4.1,PT Hassanah,Kota Administrasi Jakarta Utara
58,Sambal Sambal Tomat 359ml,Sambal Tomat,53705,209,7/15/2025,3/29/2026,3.5,UD Siregar Natsir,Singkawang
59,Sambel Sambal Ijo 198ml,Sambal Roa,53576,481,7/15/2025,4/25/2026,4.2,PT Utama Saptono,Jambi
60,Sambal Sambal Tomat 307ml,Sambal Terasi,29914,146,7/15/2025,1/28/2026,3.6,PD Mangunsong (Persero) Tbk,Tangerang
61,Sambel Sambal Teri 326ml,Sambal Teri,54277,109,7/15/2025,7/1/2026,3.7,UD Saragih,Bitung
62,Sambal Sambal Bawang 245ml,Sambal Cumi,16120,419,7/15/2025,2/10/2026,4.2,PD Setiawan Kuswandari Tbk,Tanjungpinang
63,Sambal Sambal Matah 175ml,Sambal Terasi,13028,125,7/15/2025,6/13/2026,4,PT Wasita Hasanah Tbk,Bandung
64,Sambal Sambal Teri 312ml,Sambal Matah,57077,356,7/15/2025,4/27/2026,3.7,PT Safitri Wahyuni,Lhokseumawe
65,Sambal Sambal Ijo 435ml,Sambal Terasi,68501,384,7/15/2025,12/6/2025,4.4,Perum Hassanah,Kupang
66,Sambal Sambal Ijo 456ml,Sambal Teri,13291,285,7/15/2025,2/17/2026,4.8,Perum Mandala Nasyiah (Persero) Tbk,Pariaman
67,Sambal Sambal Teri 168ml,Sambal Teri,53750,271,7/15/2025,3/24/2026,4.9,CV Maheswara,Pangkalpinang
68,Sambel Sambal Roa 380ml,Sambal Teri,68799,81,7/15/2025,6/13/2026,3.6,UD Susanti Melani (Persero) Tbk,Sorong
69,Sambal Sambal Tomat 492ml,Sambal Teri,51074,122,7/15/2025,3/2/2026,3.6,PT Mandala Sihombing,Singkawang
70,Sambel Sambal Matah 239ml,Sambal Cumi,30952,457,7/15/2025,11/23/2025,2.8,CV Pranowo,Kota Administrasi Jakarta Selatan
71,Sambal Sambal Roa 455ml,Sambal Ijo,56295,109,7/15/2025,11/14/2025,3.5,Perum Hastuti (Persero) Tbk,Bogor
72,Sambel Sambal Teri 312ml,Sambal Terasi,23555,426,7/15/2025,5/16/2026,3.5,UD Halim Tbk,Tanjungbalai
73,Sambal Sambal Roa 344ml,Sambal Terasi,71783,180,7/15/2025,3/14/2026,4.4,CV Najmudin Rahmawati (Persero) Tbk,Sukabumi
74,Sambel Sambal Matah 349ml,Sambal Matah,27887,223,7/15/2025,6/18/2026,2.6,UD Latupono Novitasari,Balikpapan
75,Sambel Sambal Roa 470ml,Sambal Ijo,65083,239,7/15/2025,12/17/2025,5,Perum Winarsih,Bima
76,Sambal Sambal Roa 403ml,Sambal Terasi,15501,329,7/15/2025,5/20/2026,2.8,PD Padmasari Januar Tbk,Semarang
77,Sambel Sambal Ijo 125ml,Sambal Tomat,34844,167,7/15/2025,1/29/2026,3.6,PT Halim Hasanah Tbk,Bitung
78,Sambel Sambal Roa 242ml,Sambal Roa,26532,427,7/15/2025,11/23/2025,3.7,UD Purnawati Sihombing Tbk,Pagaralam
79,Sambal Sambal Cumi 214ml,Sambal Bawang,61198,490,7/15/2025,11/2/2025,4.4,UD Hidayat Latupono Tbk,Tegal
80,Sambal Sambal Matah 110ml,Sambal Ijo,25633,64,7/15/2025,6/12/2026,4.2,CV Rahayu (Persero) Tbk,Balikpapan
81,Sambal Sambal Teri 458ml,Sambal Tomat,60259,188,7/15/2025,1/6/2026,4,PT Nababan Saefullah,Magelang
82,Sambal Sambal Ijo 259ml,Sambal Bawang,47924,13,7/15/2025,3/21/2026,3.9,PD Prayoga (Persero) Tbk,Cilegon
83,Sambel Sambal Roa 466ml,Sambal Matah,14980,303,7/15/2025,2/14/2026,2.8,UD Situmorang Kurniawan,Bima
84,Sambel Sambal Bawang 389ml,Sambal Terasi,32754,272,7/15/2025,5/20/2026,4.2,CV Marpaung Laksmiwati Tbk,Pekalongan
85,Sambal Sambal Cumi 106ml,Sambal Roa,63892,250,7/15/2025,12/6/2025,3.6,CV Rajasa Adriansyah,Tanjungbalai
86,Sambel Sambal Teri 462ml,Sambal Ijo,38540,90,7/15/2025,7/7/2026,4.9,PD Kusumo Lailasari (Persero) Tbk,Tarakan
87,Sambel Sambal Teri 338ml,Sambal Roa,64115,374,7/15/2025,2/27/2026,3.3,PT Aryani,Pariaman
88,Sambal Sambal Bawang 242ml,Sambal Teri,25981,384,7/15/2025,6/7/2026,3.9,UD Aryani Nurdiyanti (Persero) Tbk,Madiun
89,Sambel Sambal Cumi 114ml,Sambal Teri,65768,166,7/15/2025,1/14/2026,3.7,PD Haryanti (Persero) Tbk,Tidore Kepulauan
90,Sambel Sambal Tomat 274ml,Sambal Tomat,67692,305,7/15/2025,3/3/2026,3.9,PD Rahayu Nababan (Persero) Tbk,Tangerang
91,Sambal Sambal Bawang 223ml,Sambal Roa,42019,284,7/15/2025,2/13/2026,4.2,Perum Permata Rahimah Tbk,Tegal
92,Sambel Sambal Teri 108ml,Sambal Bawang,29283,113,7/15/2025,5/8/2026,4.2,PD Tamba,Purwokerto
93,Sambel Sambal Cumi 342ml,Sambal Cumi,37885,381,7/15/2025,3/31/2026,3.4,CV Setiawan Tbk,Tidore Kepulauan
94,Sambel Sambal Tomat 256ml,Sambal Tomat,25108,61,7/15/2025,1/19/2026,3.3,PD Hariyah Maheswara (Persero) Tbk,Jayapura
95,Sambal Sambal Matah 210ml,Sambal Teri,28120,370,7/15/2025,7/8/2026,4,Perum Laksita,Batam
96,Sambal Sambal Matah 251ml,Sambal Matah,33650,91,7/15/2025,3/16/2026,2.5,UD Purnawati Tbk,Langsa
97,Sambal Sambal Tomat 123ml,Sambal Terasi,46264,149,7/15/2025,12/16/2025,4.1,PT Rahayu (Persero) Tbk,Lhokseumawe
98,Sambel Sambal Bawang 106ml,Sambal Tomat,40762,245,7/15/2025,5/26/2026,3.4,UD Halim Suryatmi,Pontianak
99,Sambal Sambal Tomat 344ml,Sambal Bawang,63878,33,7/15/2025,5/6/2026,3.7,UD Yuniar,Bukittinggi
100,Sambal Sambal Ijo 176ml,Sambal Tomat,15582,127,7/15/2025,12/12/2025,3.9,PT Hutapea Utami,Ambon
101,Sambel Sambal Matah 497ml,Sambal Roa,39524,465,7/15/2025,5/27/2026,3.2,PT Megantara Siregar Tbk,Tangerang
102,Sambel Sambal Tomat 391ml,Sambal Terasi,49952,491,7/15/2025,12/2/2025,4.9,UD Marbun,Banjarmasin
103,Sambal Sambal Matah 235ml,Sambal Bawang,20292,122,7/15/2025,1/9/2026,3.9,PD Pudjiastuti Tbk,Singkawang
104,Sambal Sambal Terasi 309ml,Sambal Teri,55178,304,7/15/2025,6/10/2026,3.2,UD Wibisono,Cimahi
105,Sambal Sambal Tomat 461ml,Sambal Tomat,56070,440,7/15/2025,6/2/2026,2.7,PD Wastuti,Probolinggo
106,Sambal Sambal Tomat 420ml,Sambal Matah,37861,58,7/15/2025,2/5/2026,4.1,PD Andriani Tbk,Tomohon
107,Sambel Sambal Ijo 136ml,Sambal Terasi,20873,405,7/15/2025,3/19/2026,4,CV Tamba (Persero) Tbk,Bau-Bau
108,Sambel Sambal Teri 163ml,Sambal Teri,55133,155,7/15/2025,5/7/2026,4.9,UD Wasita Prakasa Tbk,Tarakan
109,Sambel Sambal Teri 141ml,Sambal Terasi,68289,221,7/15/2025,3/27/2026,4,PD Hutagalung Winarsih,Malang
110,Sambal Sambal Bawang 217ml,Sambal Terasi,60119,344,7/15/2025,2/27/2026,3.9,CV Permata Marpaung Tbk,Banda Aceh
111,Sambal Sambal Teri 365ml,Sambal Teri,70035,142,7/15/2025,1/13/2026,5,PD Megantara,Tasikmalaya
112,Sambel Sambal Teri 146ml,Sambal Teri,32803,209,7/15/2025,4/1/2026,3.3,Perum Rahayu Kurniawan,Tarakan
113,Sambal Sambal Ijo 268ml,Sambal Roa,55460,253,7/15/2025,3/9/2026,4.2,CV Dongoran Suartini (Persero) Tbk,Malang
114,Sambel Sambal Terasi 332ml,Sambal Bawang,30612,129,7/15/2025,3/27/2026,2.8,PT Kusmawati,Sawahlunto
115,Sambel Sambal Terasi 436ml,Sambal Teri,37082,27,7/15/2025,1/17/2026,3.8,PD Haryanto Tbk,Manado
116,Sambel Sambal Teri 489ml,Sambal Terasi,23340,136,7/15/2025,12/19/2025,4.8,UD Pertiwi Santoso,Ternate
117,Sambel Sambal Teri 162ml,Sambal Terasi,73776,322,7/15/2025,2/12/2026,4.3,UD Kusumo Jailani Tbk,Binjai
118,Sambel Sambal Terasi 382ml,Sambal Roa,16108,115,7/15/2025,12/10/2025,3.7,CV Nainggolan Usada,Kota Administrasi Jakarta Pusat
119,Sambal Sambal Ijo 355ml,Sambal Tomat,43349,361,7/15/2025,3/1/2026,3.5,Perum Yulianti Marbun Tbk,Tanjungbalai
120,Sambel Sambal Teri 224ml,Sambal Teri,46127,74,7/15/2025,4/27/2026,3,Perum Kuswandari Rahimah,Manado
121,Sambal Sambal Bawang 241ml,Sambal Roa,32274,478,7/15/2025,6/29/2026,3.2,PD Prasasta Firgantoro,Kota Administrasi Jakarta Pusat
122,Sambal Sambal Tomat 471ml,Sambal Tomat,64884,300,7/15/2025,6/20/2026,4.7,PT Kuswandari Yulianti (Persero) Tbk,Tangerang
123,Sambel Sambal Teri 276ml,Sambal Cumi,46170,390,7/15/2025,4/24/2026,3.6,CV Pratiwi Tbk,Padangpanjang
124,Sambel Sambal Matah 457ml,Sambal Matah,47473,196,7/15/2025,2/9/2026,4.6,PT Prayoga Permata,Probolinggo
125,Sambel Sambal Terasi 262ml,Sambal Teri,56217,467,7/15/2025,4/26/2026,3.5,PD Simanjuntak Wasita,Payakumbuh
126,Sambal Sambal Teri 118ml,Sambal Ijo,42918,494,7/15/2025,3/31/2026,4.7,PD Samosir Wahyuni,Solok
127,Sambel Sambal Bawang 369ml,Sambal Teri,11005,369,7/15/2025,12/25/2025,3.5,PD Maryati Zulaika Tbk,Sorong
128,Sambal Sambal Bawang 340ml,Sambal Tomat,32187,319,7/15/2025,5/4/2026,4.1,CV Rajasa,Padangpanjang
129,Sambel Sambal Roa 262ml,Sambal Teri,67172,277,7/15/2025,10/31/2025,4,PT Sihotang (Persero) Tbk,Tanjungpinang
130,Sambal Sambal Tomat 216ml,Sambal Bawang,38440,500,7/15/2025,12/2/2025,4.4,CV Riyanti Tbk,Tebingtinggi
131,Sambal Sambal Teri 185ml,Sambal Tomat,69206,14,7/15/2025,11/5/2025,3.3,Perum Rajata Pradipta (Persero) Tbk,Bekasi
132,Sambal Sambal Tomat 283ml,Sambal Cumi,38225,74,7/15/2025,2/15/2026,3.8,CV Budiyanto Ardianto,Pekalongan
133,Sambal Sambal Ijo 189ml,Sambal Bawang,49943,445,7/15/2025,4/26/2026,4,PD Yolanda Kusmawati,Sorong
134,Sambal Sambal Teri 398ml,Sambal Ijo,25216,236,7/15/2025,2/20/2026,3.6,CV Hartati Pratiwi Tbk,Cimahi
135,Sambal Sambal Teri 247ml,Sambal Ijo,14840,226,7/15/2025,4/7/2026,5,Perum Farida Hariyah (Persero) Tbk,Tegal
136,Sambel Sambal Roa 453ml,Sambal Tomat,39939,432,7/15/2025,3/16/2026,3,Perum Firmansyah Marpaung Tbk,Sabang
137,Sambel Sambal Teri 154ml,Sambal Matah,34993,292,7/15/2025,4/14/2026,3.9,UD Firgantoro Pratiwi,Tomohon
138,Sambel Sambal Terasi 437ml,Sambal Roa,27988,4,7/15/2025,11/7/2025,4.8,PD Saragih (Persero) Tbk,Kota Administrasi Jakarta Barat
139,Sambel Sambal Tomat 497ml,Sambal Matah,49784,410,7/15/2025,4/11/2026,3,CV Irawan Simanjuntak,Sorong
140,Sambal Sambal Tomat 447ml,Sambal Ijo,51172,49,7/15/2025,11/2/2025,3.3,PD Laksmiwati Marbun (Persero) Tbk,Denpasar
141,Sambel Sambal Terasi 396ml,Sambal Cumi,57995,67,7/15/2025,11/28/2025,4.8,UD Widodo Utami,Tomohon
142,Sambel Sambal Roa 189ml,Sambal Matah,18661,402,7/15/2025,4/18/2026,3.8,PT Fujiati Nababan (Persero) Tbk,Pematangsiantar
143,Sambel Sambal Ijo 231ml,Sambal Teri,73398,412,7/15/2025,3/13/2026,4.4,Perum Sitorus,Mataram
144,Sambel Sambal Bawang 339ml,Sambal Bawang,19224,386,7/15/2025,2/5/2026,4.7,UD Sudiati Thamrin,Bogor
145,Sambel Sambal Cumi 146ml,Sambal Roa,10912,135,7/15/2025,7/14/2026,2.8,Perum Prabowo Tbk,Bukittinggi
146,Sambel Sambal Tomat 399ml,Sambal Roa,63897,326,7/15/2025,4/21/2026,2.8,CV Hutasoit,Meulaboh
147,Sambal Sambal Teri 112ml,Sambal Cumi,69982,312,7/15/2025,2/3/2026,4.1,PD Ardianto Mandasari (Persero) Tbk,Jayapura
148,Sambel Sambal Tomat 432ml,Sambal Roa,17646,71,7/15/2025,11/5/2025,4.9,UD Rajata Wibowo Tbk,Lubuklinggau
149,Sambel Sambal Teri 159ml,Sambal Bawang,25387,454,7/15/2025,7/15/2026,2.8,PD Hasanah Kusumo,Tidore Kepulauan
150,Sambel Sambal Cumi 443ml,Sambal Roa,48491,380,7/15/2025,12/31/2025,4.7,Perum Hutagalung,Sungai Penuh
151,Sambal Sambal Teri 415ml,Sambal Roa,71541,487,7/15/2025,3/5/2026,2.6,PD Hasanah Tamba,Cilegon
152,Sambel Sambal Matah 327ml,Sambal Teri,72295,120,7/15/2025,4/16/2026,2.7,Perum Prasetya Tbk,Pekalongan
153,Sambel Sambal Cumi 131ml,Sambal Roa,28080,97,7/15/2025,12/14/2025,4.9,Perum Pradana Tbk,Subulussalam
154,Sambel Sambal Bawang 439ml,Sambal Matah,52054,327,7/15/2025,10/23/2025,2.6,Perum Siregar,Prabumulih
155,Sambel Sambal Matah 164ml,Sambal Matah,14496,424,7/15/2025,1/27/2026,4,Perum Yuniar,Tomohon
156,Sambal Sambal Cumi 496ml,Sambal Ijo,61684,461,7/15/2025,10/14/2025,3.2,CV Pertiwi Tbk,Tegal
157,Sambal Sambal Ijo 376ml,Sambal Tomat,62331,89,7/15/2025,12/8/2025,4.2,UD Halim Ramadan,Serang
158,Sambal Sambal Ijo 107ml,Sambal Cumi,61772,403,7/15/2025,2/11/2026,4,CV Dongoran,Sibolga
159,Sambal Sambal Ijo 235ml,Sambal Terasi,18307,379,7/15/2025,5/16/2026,3.8,Perum Januar Sitorus,Bandung
160,Sambal Sambal Teri 329ml,Sambal Cumi,43635,303,7/15/2025,12/7/2025,3.6,PD Damanik Hassanah Tbk,Samarinda
161,Sambal Sambal Terasi 472ml,Sambal Tomat,40018,329,7/15/2025,10/28/2025,2.7,UD Wasita Budiyanto,Denpasar
162,Sambel Sambal Roa 318ml,Sambal Bawang,42130,364,7/15/2025,5/28/2026,2.7,PT Saefullah Tbk,Palembang
163,Sambal Sambal Cumi 411ml,Sambal Ijo,14304,64,7/15/2025,3/2/2026,4.1,PD Sudiati,Tangerang
164,Sambel Sambal Roa 405ml,Sambal Tomat,39734,258,7/15/2025,5/21/2026,2.7,Perum Ramadan Mahendra Tbk,Batu
165,Sambal Sambal Matah 320ml,Sambal Teri,68201,116,7/15/2025,5/12/2026,3.3,PD Agustina Pertiwi,Bengkulu
166,Sambel Sambal Roa 312ml,Sambal Bawang,30483,218,7/15/2025,3/22/2026,4.2,PT Hardiansyah Usamah,Bekasi
167,Sambel Sambal Ijo 451ml,Sambal Teri,14399,46,7/15/2025,11/25/2025,2.7,CV Nababan Tbk,Samarinda
168,Sambal Sambal Cumi 166ml,Sambal Terasi,48434,489,7/15/2025,3/30/2026,4.2,PD Pradipta Saragih,Payakumbuh
169,Sambel Sambal Cumi 440ml,Sambal Roa,66891,468,7/15/2025,11/8/2025,4.9,Perum Setiawan Susanti,Kota Administrasi Jakarta Timur
170,Sambel Sambal Cumi 153ml,Sambal Matah,20140,336,7/15/2025,6/16/2026,3.1,CV Natsir Hidayat Tbk,Batu
171,Sambal Sambal Cumi 384ml,Sambal Cumi,17529,390,7/15/2025,3/4/2026,3.9,PT Nasyidah Saputra Tbk,Parepare
172,Sambel Sambal Terasi 411ml,Sambal Tomat,11897,92,7/15/2025,3/1/2026,4.3,UD Yulianti Hastuti (Persero) Tbk,Parepare
173,Sambel Sambal Cumi 279ml,Sambal Terasi,21888,445,7/15/2025,12/25/2025,3.9,PT Saefullah Rahimah Tbk,Meulaboh
174,Sambel Sambal Bawang 172ml,Sambal Terasi,16013,382,7/15/2025,7/11/2026,3,PD Puspasari Tbk,Padang Sidempuan
175,Sambel Sambal Teri 274ml,Sambal Ijo,34251,159,7/15/2025,3/28/2026,4.4,PD Tarihoran,Pematangsiantar
176,Sambal Sambal Terasi 179ml,Sambal Ijo,59442,316,7/15/2025,11/7/2025,4.2,PT Natsir,Tasikmalaya
177,Sambel Sambal Teri 438ml,Sambal Roa,41828,310,7/15/2025,5/27/2026,3.5,PT Sitompul Tampubolon Tbk,Denpasar
178,Sambal Sambal Bawang 276ml,Sambal Roa,17267,145,7/15/2025,6/19/2026,3.8,PT Sihombing (Persero) Tbk,Pekanbaru
179,Sambel Sambal Terasi 212ml,Sambal Roa,74516,306,7/15/2025,11/10/2025,2.5,UD Marbun (Persero) Tbk,Denpasar
180,Sambel Sambal Matah 492ml,Sambal Ijo,60080,130,7/15/2025,3/10/2026,3.3,CV Widiastuti Pradipta (Persero) Tbk,Subulussalam
181,Sambal Sambal Teri 482ml,Sambal Roa,21514,66,7/15/2025,4/25/2026,3.8,CV Safitri Thamrin (Persero) Tbk,Gorontalo
182,Sambal Sambal Cumi 136ml,Sambal Roa,66476,379,7/15/2025,11/3/2025,3.6,CV Damanik,Bandung
183,Sambel Sambal Bawang 260ml,Sambal Roa,47578,207,7/15/2025,5/14/2026,3.2,CV Adriansyah Budiman,Tarakan
184,Sambel Sambal Terasi 266ml,Sambal Ijo,62515,485,7/15/2025,6/5/2026,4.6,PD Pertiwi Andriani (Persero) Tbk,Kediri
185,Sambel Sambal Bawang 323ml,Sambal Bawang,25945,223,7/15/2025,5/6/2026,3.8,CV Nugroho Kuswoyo (Persero) Tbk,Kota Administrasi Jakarta Utara
186,Sambel Sambal Tomat 481ml,Sambal Cumi,24520,170,7/15/2025,1/7/2026,2.7,PT Puspita Tampubolon,Tarakan
187,Sambal Sambal Matah 497ml,Sambal Cumi,33009,372,7/15/2025,12/27/2025,3.1,PD Purnawati Wahyudin Tbk,Bogor
188,Sambal Sambal Tomat 201ml,Sambal Ijo,49478,78,7/15/2025,11/20/2025,2.9,CV Nashiruddin Wahyudin (Persero) Tbk,Balikpapan
189,Sambel Sambal Teri 486ml,Sambal Teri,54638,473,7/15/2025,3/27/2026,4.7,UD Nasyiah,Kota Administrasi Jakarta Barat
190,Sambel Sambal Ijo 325ml,Sambal Bawang,40731,226,7/15/2025,3/17/2026,4.5,CV Ardianto (Persero) Tbk,Sukabumi
191,Sambal Sambal Cumi 359ml,Sambal Bawang,30342,236,7/15/2025,6/1/2026,2.6,PD Wibowo Yolanda Tbk,Mojokerto
192,Sambel Sambal Tomat 139ml,Sambal Bawang,50305,304,7/15/2025,6/29/2026,3.5,UD Rajasa Tbk,Madiun
193,Sambal Sambal Teri 392ml,Sambal Matah,31071,309,7/15/2025,6/13/2026,3.8,CV Haryanto,Prabumulih
194,Sambal Sambal Teri 152ml,Sambal Cumi,74381,365,7/15/2025,11/25/2025,3.8,CV Prakasa (Persero) Tbk,Banjar
